Idiom ID,English Idiom,English Sentence,Urdu Native Idiom,Target A (Native Idiomatic),Target B (Native Descriptive),Target C (Native Literal),Roman Urdu Idiom,Target A (Roman Idiomatic),Target B (Roman Descriptive),Target C (Roman Literal)
160,long arm of the law,"No matter how far you run, you can't escape the **long arm of the law**.",قانون کے ہاتھ بہت لمبے ہیں,"چاہے تم کتنی ہی دور کیوں نہ بھاگو، تم قانون کے ہاتھ بہت لمبے ہیں سے نہیں بچ سکتے۔","چاہے تم کتنی ہی دور بھاگو، قانون تمہیں آخرکار پکڑ ہی لے گا۔","چاہے تم کتنی ہی دور بھاگو، تم قانون کے لمبے بازو سے نہیں بچ سکتے۔",Qanoon ke haath bohat lambe hain,"Chahe tum kitni hi door kyon na bhaago, tum Qanoon ke haath bohat lambe hain se nahi bach sakte.","Chahe tum kitni hi door bhaago, qanoon tumhe aakhirkaar pakar hi lega.","Chahe tum kitni hi door bhaago, tum qanoon ke lambe baazu se nahi bach sakte."
161,look the part,"When she walked into the room wearing that elegant dress, she really looked the part for the gala.",جچنا,جب وہ اس خوبصورت لباس میں کمرے میں داخل ہوئی تو وہ واقعی گالا کے لیے جچ رہی تھی۔,جب وہ اس خوبصورت لباس میں کمرے میں داخل ہوئی تو وہ گالا کے لیے بالکل موزوں اور شاندار لگ رہی تھی۔,جب وہ اس خوبصورت لباس میں کمرے میں داخل ہوئی تو وہ واقعی کردار کی طرح دیکھ رہی تھی۔,Jachna,Jab woh us khubsurat libaas mein kamre mein daakhil hui to woh waqai gala ke liye jach rahi thi.,Jab woh us khubsurat libaas mein kamre mein daakhil hui to woh gala ke liye bilkul mozoon aur shandaar lag rahi thi.,Jab woh us khubsurat libaas mein kamre mein daakhil hui to woh waqai kirdar ki tarah dekh rahi thi.
162,lose face,"After his mistake in the meeting, he was afraid he would lose face in front of his colleagues.",منہ کی کھانا,"میٹنگ میں اپنی غلطی کے بعد، اسے ڈر تھا کہ کہیں وہ اپنے ساتھیوں کے سامنے منہ کی نہ کھا جائے۔","میٹنگ میں اپنی غلطی کے بعد، اسے خوف تھا کہ اس کی عزت ساتھیوں کے سامنے کم نہ ہو جائے۔","میٹنگ میں اپنی غلطی کے بعد، اسے ڈر تھا کہ وہ اپنے ساتھیوں کے سامنے اپنا چہرہ نہ کھو دے۔",Munh ki khana,"Meeting mein apni ghalti ke baad, usay dar tha ke kahin woh apne saathiyon ke samne Munh ki na kha jaye.","Meeting mein apni ghalti ke baad, usay khauf tha ke uski izzat saathiyon ke samne kam na ho jaye.","Meeting mein apni ghalti ke baad, usay dar tha ke woh apne saathiyon ke samne apna chehra na kho de."
163,lose one's touch,"After years of not playing the piano, I feel like I've really started to lose my touch.",وہ بات نہ رہنا,کئی سال پیانو نہ بجانے کے بعد مجھے لگتا ہے کہ میری وہ بات نہ رہی۔,کئی سال پیانو نہ بجانے کے بعد مجھے محسوس ہوتا ہے کہ میں پہلے جیسا ماہر نہیں رہا۔,کئی سال پیانو نہ بجانے کے بعد مجھے لگتا ہے کہ میں نے اپنا لمس کھو دیا ہے۔,Woh baat na rehna,Kai saal piano na bajanay ke baad mujhe lagta hai ke meri Woh baat na rahi.,Kai saal piano na bajanay ke baad mujhe mehsoos hota hai ke main pehle jaisa maahir nahi raha.,Kai saal piano na bajanay ke baad mujhe lagta hai ke maine apna lams kho diya hai.
164,lose the thread,"During the discussion, I completely lost the thread and couldn't follow what everyone was talking about.",بات کی کاری کھو دینا,بحث کے دوران میں نے مکمل طور پر بات کی کاری کھو دی اور سمجھ نہیں پایا کہ سب کیا بات کر رہے تھے۔,بحث کے دوران میں بالکل بھٹک گیا اور سمجھ نہیں سکا کہ سب لوگ کس بارے میں بات کر رہے تھے۔,بحث کے دوران میں نے دھاگہ کھو دیا اور سمجھ نہیں سکا کہ سب کیا بات کر رہے تھے۔,baat ki kari kho dena,Behas ke dauran maine mukammal tor par baat ki kari kho di aur samajh nahi paya ke sab kya baat kar rahe the.,Behas ke dauran main bilkul bhatak gaya aur samajh nahi saka ke sab log kis bare mein baat kar rahe the.,Behas ke dauran maine dhaaga kho diya aur samajh nahi saka ke sab kya baat kar rahe the.
165,lose your cool,"During the heated debate, he completely lost his cool and shouted at everyone.",اپے سے باہر ہونا,گرم بحث کے دوران وہ بالکل اپے سے باہر ہو گیا اور سب پر چلانے لگا۔,گرم بحث کے دوران وہ بہت غصے میں آ گیا اور سب پر چلانے لگا۔,گرم بحث کے دوران اس نے اپنا سکون کھو دیا اور سب پر چلانے لگا۔,aapay se bahar hona,Garam behas ke dauran woh bilkul aapay se bahar ho gaya aur sab par chillane laga.,Garam behas ke dauran woh bohat gusse mein aa gaya aur sab par chillane laga.,Garam behas ke dauran us ne apna sukoon kho diya aur sab par chillane laga.
166,lose your grip,"After working late for several weeks, I felt like I was starting to lose my grip on the project.",پاؤں سے پھسلنا,"کئی ہفتوں تک دیر تک کام کرنے کے بعد، مجھے لگا جیسے میں منصوبے پر پاؤں سے پھسلنے لگا ہوں۔","کئی ہفتوں تک دیر تک کام کرنے کے بعد، مجھے محسوس ہوا کہ میں منصوبے پر اپنا کنٹرول کھو رہا ہوں۔","کئی ہفتوں تک دیر تک کام کرنے کے بعد، مجھے لگا جیسے میں اپنی گرفت کھو رہا ہوں منصوبے پر۔",Paaon se phisalna,"Kai hafton tak der tak kaam karne ke baad, mujhe laga jaise main mansubay par Paaon se phisalne laga hoon.","Kai hafton tak der tak kaam karne ke baad, mujhe mehsoos hua ke main mansubay par apna control kho raha hoon.","Kai hafton tak der tak kaam karne ke baad, mujhe laga jaise main apni girift kho raha hoon mansubay par."
167,make a clean sweep,"After the scandal, the new manager decided to make a clean sweep of the team's roster.",صفایا کرنا,"اس اسکینڈل کے بعد، نئے مینیجر نے ٹیم کے روسٹر کا صفایا کرنے کا فیصلہ کیا۔","اس اسکینڈل کے بعد، نئے مینیجر نے ٹیم کے تمام غیر ضروری کھلاڑیوں کو ہٹانے کا فیصلہ کیا۔","اس اسکینڈل کے بعد، نئے مینیجر نے ٹیم کے روسٹر کی صاف جھاڑو لگانے کا فیصلہ کیا۔",Safaya karna,"Is scandal ke baad, naye manager ne team ke roster ka Safaya karne ka faisla kiya.","Is scandal ke baad, naye manager ne team ke tamam ghair zaroori khilariyon ko hataane ka faisla kiya.","Is scandal ke baad, naye manager ne team ke roster ki saaf jhadoo lagane ka faisla kiya."
168,make a fuss,She always likes to make a fuss when things don't go her way.,طوفان کھڑا کرنا,جب چیزیں اس کے مطابق نہیں ہوتیں تو وہ ہمیشہ طوفان کھڑا کرتی ہے۔,جب چیزیں اس کی مرضی کے مطابق نہیں ہوتیں تو وہ ہمیشہ شکایت کرتی ہے اور بحث شروع کر دیتی ہے۔,جب چیزیں اس کے مطابق نہیں ہوتیں تو وہ ہمیشہ ہنگامہ بناتی ہے۔,Toofan khara karna,Jab cheezein us ke mutabiq nahi hotin to woh hamesha Toofan khara karti hai.,Jab cheezein us ki marzi ke mutabiq nahi hotin to woh hamesha shikayat karti hai aur behas shuru kar deti hai.,Jab cheezein us ke mutabiq nahi hotin to woh hamesha hangama banati hai.
169,make a killing,"With their new product, the company is sure to make a killing this quarter.",اندھا پیسہ کمانا,"اپنی نئی مصنوعات کے ساتھ، کمپنی اس سہ ماہی میں اندھا پیسہ کمانے والی ہے۔","اپنی نئی مصنوعات کے ساتھ، کمپنی اس سہ ماہی میں بہت زیادہ منافع کمانے والی ہے۔","اپنی نئی مصنوعات کے ساتھ، کمپنی اس سہ ماہی میں ایک قتل کرنے والی ہے۔",Andha paisa kamana,"Apni nai masnoaat ke saath, company is seh mahi mein Andha paisa kamane wali hai.","Apni nai masnoaat ke saath, company is seh mahi mein bohat zyada munafa kamane wali hai.","Apni nai masnoaat ke saath, company is seh mahi mein aik qatal karne wali hai."
170,make a living,"After years of hard work, she finally managed to make a living as an artist.",روزی کمانا,"سالوں کی محنت کے بعد، وہ آخرکار ایک فنکار کے طور پر روزی کمانے میں کامیاب ہو گئی۔","سالوں کی محنت کے بعد، وہ آخرکار ایک فنکار کے طور پر اتنی آمدنی حاصل کرنے میں کامیاب ہو گئی کہ اپنی زندگی گزار سکے۔","سالوں کی محنت کے بعد، وہ آخرکار ایک فنکار کے طور پر زندگی بنانے میں کامیاب ہو گئی۔",rozi kamana,"Saalon ki mehnat ke baad, woh aakhirkar ek funkaar ke tor par rozi kamane mein kamyab ho gayi.","Saalon ki mehnat ke baad, woh aakhirkar ek funkaar ke tor par itni aamdani hasil karne mein kamyab ho gayi ke apni zindagi guzar sake.","Saalon ki mehnat ke baad, woh aakhirkar ek funkaar ke tor par zindagi banane mein kamyab ho gayi."
171,make a move,"If you want to succeed in your career, you need to make a move and take some risks.",پہل کرنا,اگر تم اپنے کیریئر میں کامیاب ہونا چاہتے ہو تو تمہیں پہل کرنا اور کچھ خطرات مول لینا ہوں گے۔,اگر تم اپنے کیریئر میں کامیاب ہونا چاہتے ہو تو تمہیں عمل شروع کرنا اور کچھ خطرات اٹھانے ہوں گے۔,اگر تم اپنے کیریئر میں کامیاب ہونا چاہتے ہو تو تمہیں ایک حرکت کرنی اور کچھ خطرات لینے ہوں گے۔,pehl karna,Agar tum apne career mein kamiyab hona chahtay ho to tumhe pehl karna aur kuch khatrat mol lena honge.,Agar tum apne career mein kamiyab hona chahtay ho to tumhe amal shuru karna aur kuch khatrat uthanay honge.,Agar tum apne career mein kamiyab hona chahtay ho to tumhe aik harkat karni aur kuch khatrat lenay honge.
172,make a pass,"At the party, he decided to make a pass at her, hoping she would be interested.",آنکھ لڑانا,"پارٹی میں اُس نے اُس پر آنکھ لڑانے کا فیصلہ کیا، اُمید تھی کہ وہ دلچسپی لے گی۔","پارٹی میں اُس نے اُس سے تعلق شروع کرنے کی کوشش کی، اُمید تھی کہ وہ دلچسپی دکھائے گی۔","پارٹی میں اُس نے اُس پر ایک پاس بنانے کا فیصلہ کیا، اُمید تھی کہ وہ دلچسپی لے گی۔",aankh larana,"Party mein us ne us par aankh larane ka faisla kiya, umeed thi ke woh dilchaspi le gi.","Party mein us ne us se talluq shuru karne ki koshish ki, umeed thi ke woh dilchaspi dikhaye gi.","Party mein us ne us par aik pass banane ka faisla kiya, umeed thi ke woh dilchaspi le gi."
173,make a pile,"After launching her online store, she was able to make a pile in just a few months.",اندھا پیسہ کمانا,"اپنی آن لائن دکان شروع کرنے کے بعد، وہ چند مہینوں میں اندھا پیسہ کمانے میں کامیاب ہوگئی۔","اپنی آن لائن دکان شروع کرنے کے بعد، وہ چند مہینوں میں بہت زیادہ پیسہ کمانے میں کامیاب ہوگئی۔","اپنی آن لائن دکان شروع کرنے کے بعد، وہ چند مہینوں میں ایک ڈھیر بنانے میں کامیاب ہوگئی۔",Andha paisa kamana,"Apni online dukaan shuru karne ke baad, woh chand mahino mein Andha paisa kamane mein kamyab hogayi.","Apni online dukaan shuru karne ke baad, woh chand mahino mein bohat zyada paisa kamane mein kamyab hogayi.","Apni online dukaan shuru karne ke baad, woh chand mahino mein aik dhair banane mein kamyab hogayi."
174,make a splash,The new art exhibit is sure to make a splash in the local community.,دھوم مچانا,نئی آرٹ نمائش مقامی برادری میں ضرور دھوم مچائے گی۔,نئی آرٹ نمائش مقامی برادری میں یقیناً بہت زیادہ توجہ حاصل کرے گی۔,نئی آرٹ نمائش مقامی برادری میں ضرور چھپاکا مارے گی۔,Dhoom machana,Nayi art numaish maqami baradari mein zaroor Dhoom machaye gi.,Nayi art numaish maqami baradari mein yaqeenan bohat zyada tawajjo hasil kare gi.,Nayi art numaish maqami baradari mein zaroor chhapaka mare gi.
175,make no bones about (it),She made no bones about her dislike for the new policy.,بات منہ پر کہنا,اس نے نئی پالیسی سے اپنی ناپسندیدگی کے بارے میں بات منہ پر کہی۔,اس نے بغیر کسی جھجک کے صاف صاف بتایا کہ اسے نئی پالیسی پسند نہیں۔,اس نے نئی پالیسی کے بارے میں کوئی ہڈی نہیں بنائی۔,baat munh par kehna,Us ne nai policy se apni na-pasandeedgi ke bare mein baat munh par kahi.,Us ne baghair kisi jhijhak ke saaf saaf bataya ke use nai policy pasand nahi.,Us ne nai policy ke bare mein koi haddi nahi banai.
176,make the grade,"After months of hard work, I finally made the grade in my exams.",محنت رنگ لاتی ہے,"مہینوں کی سخت محنت کے بعد، آخرکار میری محنت رنگ لاتی ہے اور میں اپنے امتحان میں کامیاب ہوا۔","مہینوں کی سخت محنت کے بعد، آخرکار میں اپنے امتحان میں کامیاب ہوا۔","مہینوں کی سخت محنت کے بعد، میں نے آخرکار گریڈ بنایا اپنے امتحان میں۔",Mehnat rang laati hai,"Mahinon ki sakht mehnat ke baad, aakhirkar meri Mehnat rang laati hai aur main apne imtihaan mein kaamyaab hua.","Mahinon ki sakht mehnat ke baad, aakhirkar main apne imtihaan mein kaamyaab hua.","Mahinon ki sakht mehnat ke baad, main ne aakhirkar grade banaya apne imtihaan mein."
177,make a scene,She tends to make a scene whenever she feels upset about something.,تماشا کھڑا کرنا,وہ جب بھی کسی بات پر ناراض ہوتی ہے تو تماشا کھڑا کر دیتی ہے۔,وہ جب بھی کسی بات پر ناراض ہوتی ہے تو بہت شور شرابہ کرتی ہے۔,وہ جب بھی کسی بات پر ناراض ہوتی ہے تو منظر بنا دیتی ہے۔,tamasha khara karna,Woh jab bhi kisi baat par naraz hoti hai to tamasha khara kar deti hai.,Woh jab bhi kisi baat par naraz hoti hai to bohat shor sharaba karti hai.,Woh jab bhi kisi baat par naraz hoti hai to manzar bana deti hai.
178,make the scene,We need to make the scene at the party if we want to meet everyone.,محفل میں حاضری دینا,اگر ہم سب سے ملنا چاہتے ہیں تو ہمیں پارٹی میں محفل میں حاضری دینی ہوگی۔,اگر ہم سب سے ملنا چاہتے ہیں تو ہمیں پارٹی میں موجود ہونا پڑے گا۔,اگر ہم سب سے ملنا چاہتے ہیں تو ہمیں منظر بنانا پڑے گا۔,mehfil mein hazri dena,Agar hum sab se milna chahte hain to humein party mein mehfil mein hazri deni hogi.,Agar hum sab se milna chahte hain to humein party mein maujood hona parega.,Agar hum sab se milna chahte hain to humein manzar banana parega.
179,miss the boat,"If you don't apply for the job soon, you might miss the boat.",موقع ہاتھ سے نکل جانا,اگر تم نے جلدی نوکری کے لیے درخواست نہ دی تو تم موقع ہاتھ سے نکل جانا۔,اگر تم نے جلدی نوکری کے لیے درخواست نہ دی تو تم موقع کھو دو گے۔,اگر تم نے جلدی نوکری کے لیے درخواست نہ دی تو تم کشتی چھوٹ جاؤ گے۔,Mauqa haath se nikal jana,Agar tum ne jaldi naukri ke liye darkhwast na di to tum Mauqa haath se nikal jana.,Agar tum ne jaldi naukri ke liye darkhwast na di to tum mauqa kho do ge.,Agar tum ne jaldi naukri ke liye darkhwast na di to tum kashti chhoot jao ge.
180,miss the mark,His attempt to impress the audience really missed the mark.,نشانَہ چوک جانا,ناظرین کو متاثر کرنے کی اس کی کوشش واقعی نشانَہ چوک گئی۔,ناظرین کو متاثر کرنے کی اس کی کوشش بالکل کامیاب نہیں ہوئی۔,ناظرین کو متاثر کرنے کی اس کی کوشش نے واقعی نشانے کو کھو دیا۔,Nishana chook jana,Nazreen ko mutasir karne ki us ki koshish waqai Nishana chook gayi.,Nazreen ko mutasir karne ki us ki koshish bilkul kamiyab nahi hui.,Nazreen ko mutasir karne ki us ki koshish ne waqai nishane ko kho diya.
181,muddy the waters,His vague comments only served to muddy the waters during our discussion about the project.,معاملہ الجھا دینا,اس کے مبہم تبصرے نے ہمارے منصوبے پر گفتگو کے دوران صرف معاملہ الجھا دینا ہی کیا۔,اس کے مبہم تبصروں نے ہماری منصوبے پر بات چیت کو مزید الجھا اور غیر واضح بنا دیا۔,اس کے مبہم تبصروں نے ہماری گفتگو کے دوران پانی کو گدلا کر دیا۔,Maamla uljha dena,Us ke mabham tabsaray ne hamare mansoobay par guftagu ke dauran sirf Maamla uljha dena hi kiya.,Us ke mabham tabsaron ne hamari mansoobay par baat cheet ko mazeed uljha aur ghair wazeh bana diya.,Us ke mabham tabsaron ne hamari guftagu ke dauran pani ko gadla kar diya.
182,name the day (date),"Once we finalize the guest list, we can name the day for the wedding.",بسم اللہ کرنا,جب ہم مہمانوں کی فہرست کو حتمی شکل دے لیں گے تو ہم شادی کی بسم اللہ کر سکتے ہیں۔,جب ہم مہمانوں کی فہرست مکمل کر لیں گے تو ہم شادی کی تاریخ طے کر سکتے ہیں۔,جب ہم مہمانوں کی فہرست مکمل کر لیں گے تو ہم شادی کے دن کا نام رکھ سکتے ہیں۔,Bismillah karna,Jab hum mehmanon ki fehrist ko hatmi shakal de lenge to hum shadi ki Bismillah kar sakte hain.,Jab hum mehmanon ki fehrist mukammal kar lenge to hum shadi ki tareekh tay kar sakte hain.,Jab hum mehmanon ki fehrist mukammal kar lenge to hum shadi ke din ka naam rakh sakte hain.
183,nip in the bud,We need to nip this problem in the bud before it gets worse.,اولے میں ہی کاٹ دینا,ہمیں اس مسئلے کو اولے میں ہی کاٹ دینا چاہیے تاکہ یہ مزید نہ بڑھے۔,ہمیں اس مسئلے کو شروع میں ہی ختم کر دینا چاہیے تاکہ یہ بگڑنے نہ پائے۔,ہمیں اس مسئلے کو کلی میں ہی چٹکی کاٹنی چاہیے تاکہ یہ خراب نہ ہو۔,Olay mein hi kaat dena,Humein is maslay ko Olay mein hi kaat dena chahiye taake yeh mazeed na barhe.,Humein is maslay ko shuru mein hi khatam kar dena chahiye taake yeh bigarne na paaye.,Humein is maslay ko kali mein hi chutki kaatni chahiye taake yeh kharab na ho.
184,nurse a grudge,"Despite their friendly interactions, she continued to nurse a grudge against him for what happened last year.",دل میں کینہ رکھنا,"دوستانہ تعلقات کے باوجود، وہ پچھلے سال کے واقعے پر اس کے خلاف دل میں کینہ رکھتی رہی۔","دوستانہ تعلقات کے باوجود، وہ پچھلے سال کے واقعے پر اس سے ناراضی اور رنجش محسوس کرتی رہی۔","دوستانہ تعلقات کے باوجود، وہ پچھلے سال کے واقعے پر اس کے خلاف رنج کو دودھ پلاتی رہی۔",Dil mein keenah rakhna,"Dostana talluqaat ke bawajood, woh pichle saal ke waqaye par us ke khilaf Dil mein keenah rakhtee rahi.","Dostana talluqaat ke bawajood, woh pichle saal ke waqaye par us se narazi aur ranjish mehsoos karti rahi.","Dostana talluqaat ke bawajood, woh pichle saal ke waqaye par us ke khilaf ranj ko doodh pilati rahi."
185,oil the wheels,"To ensure the project runs smoothly, we need to oil the wheels by getting everyone on the same page.",راستہ ہموار کرنا,منصوبے کو بخوبی چلانے کے لیے ہمیں سب کو ایک صفحے پر لا کر راستہ ہموار کرنا ہوگا۔,منصوبے کو بخوبی چلانے کے لیے ہمیں سب کو ایک صفحے پر لا کر کام کو آسان بنانا ہوگا۔,منصوبے کو بخوبی چلانے کے لیے ہمیں سب کو ایک صفحے پر لا کر پہیوں کو تیل لگانا ہوگا۔,raasta hamwaar karna,Mansubay ko bakhubi chalanay ke liye humein sab ko aik safhay par la kar raasta hamwaar karna hoga.,Mansubay ko bakhubi chalanay ke liye humein sab ko aik safhay par la kar kaam ko aasan banana hoga.,Mansubay ko bakhubi chalanay ke liye humein sab ko aik safhay par la kar pehiyon ko teil lagana hoga.
186,out of the blue,She called me out of the blue after years of not speaking.,بیٹھے بٹھائے,وہ بیٹھے بٹھائے کئی سال بعد مجھ سے بات کرنے کے لیے فون کر بیٹھی۔,وہ کئی سال بعد اچانک بغیر کسی اطلاع کے مجھ سے بات کرنے کے لیے فون کر بیٹھی۔,وہ نیلے آسمان سے مجھ سے بات کرنے کے لیے فون کر بیٹھی۔,Baithe bithaye,Woh baithe bithaye kai saal baad mujh se baat karne ke liye phone kar baithi.,Woh kai saal baad achanak baghair kisi ittila ke mujh se baat karne ke liye phone kar baithi.,Woh neele aasman se mujh se baat karne ke liye phone kar baithi.
187,out of thin air,The magician made the rabbit appear out of thin air during the performance.,ہوا میں سے,جادوگر نے اپنے مظاہرے کے دوران خرگوش کو ہوا میں سے ظاہر کر دیا۔,جادوگر نے اپنے مظاہرے کے دوران بغیر کسی چیز کے اچانک خرگوش ظاہر کر دیا۔,جادوگر نے اپنے مظاہرے کے دوران خرگوش کو پتلی ہوا کے باہر سے ظاہر کیا۔,Hawa mein se,Jadugar ne apne muzahire ke dauran khargosh ko Hawa mein se zahir kar diya.,Jadugar ne apne muzahire ke dauran baghair kisi cheez ke achanak khargosh zahir kar diya.,Jadugar ne apne muzahire ke dauran khargosh ko patli hawa ke bahar se zahir kiya.
188,over the hill,"After turning 40, she felt like she was over the hill and not as energetic as before.",بالوں میں چاندی اتر آنا,"چالیس سال کی ہونے کے بعد، اسے لگا جیسے اس کے بالوں میں چاندی اتر آ گئی ہو اور وہ پہلے جیسی توانائی محسوس نہیں کر رہی تھی۔","چالیس سال کی ہونے کے بعد، اسے محسوس ہوا کہ وہ جوانی سے گزر چکی ہے اور پہلے جیسی توانائی نہیں رہی۔","چالیس سال کی ہونے کے بعد، اسے لگا کہ وہ پہاڑی کے اوپر ہے اور پہلے جیسی توانائی نہیں رہی۔",Balon mein chaandi utar aana,"Chalees saal ki hone ke baad, usay laga jaise us ke Balon mein chaandi utar aayi ho aur woh pehle jaisi tawanai mehsoos nahi kar rahi thi.","Chalees saal ki hone ke baad, usay mehsoos hua ke woh jawani se guzar chuki hai aur pehle jaisi tawanai nahi rahi.","Chalees saal ki hone ke baad, usay laga ke woh pahaari ke upar hai aur pehle jaisi tawanai nahi rahi."
189,overstep the mark,His comments during the meeting really overstepped the mark and offended several colleagues.,حد پار کرنا,میٹنگ کے دوران اس کے تبصرے واقعی حد پار کر گئے اور کئی ساتھیوں کو برا لگ گیا۔,میٹنگ کے دوران اس کے تبصرے اجازت سے زیادہ تھے اور کئی ساتھیوں کو ناگوار گزرے۔,میٹنگ کے دوران اس کے تبصرے نے نشان سے آگے قدم رکھا اور کئی ساتھی ناراض ہوئے۔,had paar karna,Meeting ke dauran us ke tabsare waqai had paar kar gaye aur kai saathi ko bura lag gaya.,Meeting ke dauran us ke tabsare ijazat se zyada thay aur kai saathi ko nagawaar guzre.,Meeting ke dauran us ke tabsare ne nishan se aage qadam rakha aur kai saathi naraz hue.
190,pack a punch,That new energy drink really packs a punch and gives me the boost I need.,جان ڈال دینا,وہ نیا انرجی ڈرنک واقعی جان ڈال دیتا ہے اور مجھے وہ توانائی بخشتا ہے جس کی مجھے ضرورت ہوتی ہے۔,وہ نیا انرجی ڈرنک واقعی بہت طاقتور ہے اور مجھے وہ توانائی دیتا ہے جس کی مجھے ضرورت ہوتی ہے۔,وہ نیا انرجی ڈرنک واقعی ایک گھونسہ پیک کرتا ہے اور مجھے وہ توانائی دیتا ہے جس کی مجھے ضرورت ہے۔,jaan daal dena,Woh naya energy drink waqai jaan daal deta hai aur mujhe woh tawanai bakhshta hai jis ki mujhe zarurat hoti hai.,Woh naya energy drink waqai bohat taqatwar hai aur mujhe woh tawanai deta hai jis ki mujhe zarurat hoti hai.,Woh naya energy drink waqai aik ghonsa pack karta hai aur mujhe woh tawanai deta hai jis ki mujhe zarurat hai.
191,pad the bill,The contractor tried to pad the bill by including unnecessary materials in the invoice.,بل بڑھا چڑھا کر بنانا,ٹھیکیدار نے غیر ضروری مواد کو بل میں شامل کر کے بل بڑھا چڑھا کر بنانے کی کوشش کی۔,ٹھیکیدار نے غیر ضروری مواد شامل کر کے بل کی رقم زیادہ کرنے کی کوشش کی۔,ٹھیکیدار نے بل کو پیڈ کرنے کی کوشش کی تاکہ اس میں غیر ضروری مواد شامل ہو جائے۔,Bill barha charha kar banana,Thekedar ne ghair zaruri mawaad ko bill mein shamil kar ke Bill barha charha kar banane ki koshish ki.,Thekedar ne ghair zaruri mawaad shamil kar ke bill ki raqam zyada karne ki koshish ki.,Thekedar ne bill ko pad karne ki koshish ki taake us mein ghair zaruri mawaad shamil ho jaye.
192,paint the town,"After finishing their exams, they decided to paint the town and celebrate their success.",دھوم مچانا,"امتحانات ختم کرنے کے بعد، انہوں نے فیصلہ کیا کہ وہ اپنی کامیابی کا جشن منانے کے لیے دھوم مچائیں گے۔","امتحانات ختم کرنے کے بعد، انہوں نے فیصلہ کیا کہ وہ باہر جا کر خوب مزہ کریں اور اپنی کامیابی کا جشن منائیں۔","امتحانات ختم کرنے کے بعد، انہوں نے فیصلہ کیا کہ وہ شہر کو رنگنے جائیں گے اور اپنی کامیابی کا جشن منائیں گے۔",Dhoom machana,"Imtihanat khatam karne ke baad, unhon ne faisla kiya ke woh apni kamyabi ka jashn manane ke liye Dhoom machayenge.","Imtihanat khatam karne ke baad, unhon ne faisla kiya ke woh bahar ja kar khoob maza karein aur apni kamyabi ka jashn manayen.","Imtihanat khatam karne ke baad, unhon ne faisla kiya ke woh sheher ko rangne jaayenge aur apni kamyabi ka jashn manayenge."
193,par for the course,The delays in the project are just par for the course when working with such a large team.,ہمیشہ کی کہانی,منصوبے میں تاخیر تو ہمیشہ کی کہانی ہے جب اتنی بڑی ٹیم کے ساتھ کام کیا جائے۔,منصوبے میں تاخیر کوئی غیر معمولی بات نہیں ہے جب اتنی بڑی ٹیم کے ساتھ کام کیا جائے۔,منصوبے میں تاخیر تو کورس کے برابر ہے جب اتنی بڑی ٹیم کے ساتھ کام کیا جائے۔,Hamesha ki kahani,Mansubay mein takheer to Hamesha ki kahani hai jab itni bari team ke sath kaam kiya jaye.,Mansubay mein takheer koi ghair mamooli baat nahi hai jab itni bari team ke sath kaam kiya jaye.,Mansubay mein takheer to course ke barabar hai jab itni bari team ke sath kaam kiya jaye.
194,pass the buck,"When the project failed, he decided to pass the buck instead of taking responsibility.",ذمہ داری دوسروں پر ڈالنا,جب منصوبہ ناکام ہوا تو اُس نے ذمہ داری دوسروں پر ڈالنا پسند کیا بجائے اس کے کہ خود ذمہ داری لیتا۔,جب منصوبہ ناکام ہوا تو اُس نے اپنی غلطی تسلیم کرنے کے بجائے دوسروں کو قصوروار ٹھہرایا۔,جب منصوبہ ناکام ہوا تو اُس نے بکری آگے بڑھانے کا فیصلہ کیا بجائے اس کے کہ ذمہ داری لیتا۔,Zimmedari doosron par daalna,Jab mansooba nakaam hua to us ne Zimmedari doosron par daalna pasand kiya bajaye is ke ke khud zimmedari leta.,Jab mansooba nakaam hua to us ne apni ghalti tasleem karne ke bajaye doosron ko qasoorwar thehraya.,Jab mansooba nakaam hua to us ne bakri aage barhane ka faisla kiya bajaye is ke ke zimmedari leta.
195,pass the hat,"At the charity event, we decided to **pass the hat** to raise funds for the local shelter.",چندہ اکٹھا کرنا,چیریٹی کے موقع پر ہم نے مقامی شیلٹر کے لیے فنڈ جمع کرنے کے لیے چندہ اکٹھا کرنے کا فیصلہ کیا۔,چیریٹی کے موقع پر ہم نے مقامی شیلٹر کے لیے لوگوں سے مالی مدد حاصل کرنے کا فیصلہ کیا۔,چیریٹی کے موقع پر ہم نے مقامی شیلٹر کے لیے ٹوپی آگے بڑھانے کا فیصلہ کیا۔,chanda ikattha karna,Charity ke moqe par hum ne maqami shelter ke liye fund jama karne ke liye chanda ikattha karne ka faisla kiya.,Charity ke moqe par hum ne maqami shelter ke liye logon se maali madad hasil karne ka faisla kiya.,Charity ke moqe par hum ne maqami shelter ke liye topi aage barhane ka faisla kiya.
